Open,High,Low,Volume,Adj Close
244.199997,244.699997,244.199997,62860000,250.600006
245.5,246.199997,245.5,58860000,250.600006
246.800003,247.699997,246.800003,61820000,250.800003
247.800003,247.899994,247.100006,57440000,249
247.100006,247.100006,246.800003,64670000,247.399994
247.5,249.800003,247.300003,64730000,246.5
252.199997,252.199997,251.199997,87610000,247.5
250.699997,251.100006,250.5,53480000,247
251.100006,251.100006,250.5,59210000,248
250.699997,250.800003,250.399994,63360000,248
250.300003,250.300003,249,63910000,248.399994
247.699997,247.699997,247.300003,52890000,250.5
247,247,246.399994,45110000,249.800003
246.899994,247.5,246.899994,56550000,249.5
247.5,247.600006,247,58870000,249.5
247.100006,248,247.100006,55840000,249.300003
248,248.399994,248,60100000,247.800003
247.800003,248.399994,247.600006,56050000,247
249.199997,250.5,249.199997,68510000,246
250.5,250.5,249.800003,62200000,245.100006
249.399994,249.600006,249.399994,60620000,242.899994
250,250.300003,249.5,63690000,243.199997
249.199997,249.300003,248.800003,51230000,243
249.300003,249.300003,247.800003,55160000,245.300003
247.199997,247.199997,246.800003,56650000,244.899994
246.5,246.5,246,59380000,252.300003
246.100006,246.100006,245.100006,59550000,250.699997
244.199997,244.199997,242.899994,52870000,243.5
242.899994,243.300003,242.800003,58600000,242.399994
242.699997,243,242.399994,60630000,240.899994
244.199997,245.300003,244.199997,43870000,240.800003
245.800003,245.800003,244.899994,51500000,238.699997
244.600006,252.300003,244.600006,57950000,238.899994
246,250.699997,245.199997,59770000,239.300003
244.300003,244.300003,243.5,60830000,250.199997
242.899994,242.899994,242.399994,57490000,238.800003
241.899994,246.899994,240.699997,52700000,238.5
241.100006,241.199997,240.800003,61930000,238.100006
240.300003,240.300003,238.699997,66300000,239
238.399994,239,238.399994,60570000,238.5
239.600006,239.600006,239.300003,58350000,243.300003
238.199997,250.199997,237.699997,58760000,245.399994
238.600006,238.800003,238.5,63130000,244.5
238.899994,238.899994,238.399994,62960000,244.800003
238.100006,238.399994,238.100006,60210000,245.800003
238,239,238,62970000,246.600006
238.699997,238.699997,238.300003,63480000,245.399994
240.399994,243.300003,240.399994,87710000,245.899994
245.300003,245.399994,244.899994,85980000,247.100006
244.899994,244.899994,244.399994,71630000,245.899994
244.300003,244.800003,243.699997,68670000,246.399994
245.100006,245.800003,245.100006,38840000,246.100006
246,246.600006,245.800003,47580000,245.899994
246.100006,246.100006,245.399994,60370000,246
245.300003,245.899994,245.300003,70610000,247.300003
246.199997,247.100006,246.199997,80120000,250.699997
247.100006,247.100006,245.899994,48210000,252.199997
246,246.699997,246,52250000,255.5
246.100006,246.100006,245.800003,55800000,257.799988
246,246.199997,245.899994,53200000,260.200012
246.100006,246.399994,246,64850000,261.200012
246.100006,247.300003,246.100006,66670000,263.100006
247.899994,250.699997,247.899994,81590000,266.399994
251.699997,252.199997,251.600006,71520000,268.399994
252.699997,255.5,252.699997,73320000,270.700012
257.299988,258,257.299988,90780000,272.299988
259.100006,260.200012,259.100006,89770000,274
260.600006,261.200012,260.5,86990000,275
262.100006,263.100006,262,78280000,276.200012
263.899994,266.399994,263.899994,85470000,278.600006
268.399994,269,268.399994,107300000,278.700012
268.799988,270.700012,268.799988,100900000,278.399994
272,272.899994,272,108600000,280.799988
272.600006,274,272.5,86510000,282.600006
275,275.600006,274.600006,90740000,284.5
274.799988,276.200012,274.799988,88320000,287.100006
278.700012,278.799988,278.399994,108700000,288.399994
278.200012,278.899994,278.200012,92290000,287.399994
277.899994,278.5,277.899994,85330000,286.600006
278.799988,280.799988,278.799988,88440000,288.299988
281.799988,282.700012,281.799988,98950000,288.399994
283.799988,284.700012,283.799988,102300000,287.700012
285.5,287.100006,285.5,110230000,286.899994
287.799988,288.399994,287.600006,103400000,287.299988
288.600006,288.600006,287.100006,95950000,287
286.299988,286.799988,286.299988,89270000,286.200012
286.700012,288.299988,286.399994,113300000,284
289.100006,289.299988,288.399994,124300000,285
288.100006,288.399994,287.700012,81510000,284.100006
286.600006,287.100006,286.600006,67910000,284.200012
